marja,pro,ant,ell,fen,muu
Aronia,1880,410.2,0,96,14.7
Ruusunmarja,701,1.4,109.6,29,3.8
Makea pihlaja,485,93.2,0,75,8.7
Pihlajanmarja,431,13.6,0,103,11.48
Karpalo,406,66.7,0,12,17.3	
Mustaherukka,400,201,0,23,7.6
Puolukka,390,77.5,0,24,10
Pensasmustikka,313,218.5,0,85,8.4
Tyrni,244,0,1,7,8.6
Variksenmarja,199,359.6,0,33,10.7
Mustikka,148,563.8,0,46,7.4
Juolukka,105,154,0,22,32.09
Vadelma,78.8,46.7,297.3,28,0.67
Mansikka,47.8,40,77.1,14,0.46
Lakka,31.9,1,315.1,40,2.16
